# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
TN,2027,793.0
TN,2028,979.0
TN,2029,1080.0
TN,2030,1180.0
TN,2031,1289.2592592592591
TN,2032,1408.6351165980793
TX,2026,7230.0
TX,2027,9540.0
TX,2028,11700.0
TX,2029,13600.0
TX,2030,15500.0
TX,2031,17665.441176470587
TX,2032,20133.40722318339
UT,2026,552.0
UT,2027,647.0
UT,2028,758.0
UT,2029,840.0
UT,2030,921.0
UT,2031,1009.8107142857144
UT,2032,1107.1853188775513
VA,2026,7410.0
VA,2027,10000.0
VA,2028,13000.0
VA,2029,16300.0
VA,2030,19400.0
VA,2031,23089.57055214724
VA,2032,27480.838571267268
VT,2026,1.0
VT,2027,1.0
VT,2028,2.0
VT,2029,2.0
VT,2030,2.0
VT,2031,2.0
VT,2032,2.0
WA,2026,1020.0
WA,2027,1140.0
WA,2028,1210.0
WA,2029,1230.0
WA,2030,1260.0
WA,2031,1290.7317073170732
WA,2032,1322.212968471148
WI,2026,143.0
WI,2027,229.0
WI,2028,335.0
WI,2029,440.0
WI,2030,542.0
WI,2031,667.6454545454546
WI,2032,822.4178099173556
WV,2026,0.0
WV,2027,0.0
WV,2028,0.0
WV,2029,0.0
WV,2030,0.0
WV,2031,0.0
WV,2032,0.0
WY,2026,318.0
WY,2027,407.0
WY,2028,515.0
WY,2029,612.0
WY,2030,706.0
WY,2031,814.437908496732
WY,2032,939.531312742962
