# Other region hierarchy levels (st; transreg; transgrp; interconnect; etc) can be used
# in the first column; they should match the level in the file title: loadsite_{level}_{name}.csv.
# Values for multiple states/transgrps/etc. in a given year should be added in long format.
*loadsitereg,t,MW
TN,2032,733.8945405450625
TX,2026,5260.0
TX,2027,6220.0
TX,2028,6710.0
TX,2029,6970.0
TX,2030,7220.0
TX,2031,7478.96700143472
TX,2032,7747.222632763082
UT,2026,376.0
UT,2027,385.0
UT,2028,398.0
UT,2029,414.0
UT,2030,430.0
UT,2031,446.6183574879227
UT,2032,463.87897033769747
VA,2026,5490.0
VA,2027,6540.0
VA,2028,7490.0
VA,2029,8410.0
VA,2030,9300.0
VA,2031,10284.185493460167
VA,2032,11372.523791816831
VT,2026,1.0
VT,2027,1.0
VT,2028,1.0
VT,2029,1.0
VT,2030,1.0
VT,2031,1.0
VT,2032,1.0
WA,2026,876.0
WA,2027,952.0
WA,2028,962.0
WA,2029,972.0
WA,2030,982.0
WA,2031,992.1028806584361
WA,2032,1002.3097004182964
WI,2026,46.0
WI,2027,63.0
WI,2028,81.0
WI,2029,96.0
WI,2030,111.0
WI,2031,128.34375
WI,2032,148.3974609375
WV,2026,0.0
WV,2027,0.0
WV,2028,0.0
WV,2029,0.0
WV,2030,0.0
WV,2031,0.0
WV,2032,0.0
WY,2026,230.0
WY,2027,260.0
WY,2028,293.0
WY,2029,315.0
WY,2030,335.0
WY,2031,356.26984126984127
WY,2032,378.8901486520534
