r,rr,status,trtype,t,MW
oWA,WA_W,Possible,VSC,2010,100000
oOR_N,OR_W,Possible,VSC,2010,100000
oOR_S,OR_W,Possible,VSC,2010,100000
oCA_NNN,CA_N,Possible,VSC,2010,100000
oCA_NN,CA_N,Possible,VSC,2010,100000
oCA_N,CA_N,Possible,VSC,2010,100000
oCA_S,CA_N,Possible,VSC,2010,100000
oTX,TX_HOU,Possible,VSC,2010,100000
oLA,LA,Possible,VSC,2010,100000
oMS,MS_MISO,Possible,VSC,2010,100000
oAL,AL,Possible,VSC,2010,100000
oFL_W,FL_S,Possible,VSC,2010,100000
oFL_E,FL_SE,Possible,VSC,2010,100000
oGA,GA_S,Possible,VSC,2010,100000
oSC,SC,Possible,VSC,2010,100000
oNC_S,NC_SE,Possible,VSC,2010,100000
oNC_N,NC_PJM,Possible,VSC,2010,100000
oVA,VA_E,Possible,VSC,2010,100000
oMD,MD,Possible,VSC,2010,100000
oDE,DE,Possible,VSC,2010,100000
oNJ,NJ,Possible,VSC,2010,100000
oNY,NY_LI,Possible,VSC,2010,100000
oCT,CT,Possible,VSC,2010,100000
oRI,RI,Possible,VSC,2010,100000
oMA,MA,Possible,VSC,2010,100000
oNH,NH,Possible,VSC,2010,100000
oME,ME,Possible,VSC,2010,100000
